id_agente,nombre,apellido,documento,cargo,telefono,email,fecha_ingreso,estado_agente,id_equipo,id_departamento
1,Manuela,Diaz Agudelo,81141442,asesor_servicio,39487684,agente1@empresa.com,2025-03-11,activo,1,1
2,Catalina,Morales Sanchez,22081628,asesor_servicio,32184793,agente2@empresa.com,2022-05-26,vacaciones,12,5
3,Sofia,Perez Vargas,70721704,asesor_servicio,34929501,agente3@empresa.com,2025-10-16,inactivo,6,2
4,Felipe,Hernandez Torres,75612730,asesor_servicio,32634363,agente4@empresa.com,2023-04-10,activo,11,5
5,Paola,Sanchez Agudelo,54881594,asesor_comercial,37060666,agente5@empresa.com,2022-09-12,activo,8,3
6,Miguel,Hernandez Agudelo,95172785,asesor_servicio,39882287,agente6@empresa.com,2023-08-18,activo,5,2
7,Paola,Giraldo Castaño,40626780,asesor_servicio,32927746,agente7@empresa.com,2025-04-15,activo,2,1
8,Andres,Ramirez Arango,58392215,asesor_servicio,37239796,agente8@empresa.com,2024-09-23,activo,11,5
9,Sebastian,Restrepo Rojas,20372709,asesor_comercial,32761336,agente9@empresa.com,2022-12-28,vacaciones,7,3
10,Camilo,Martinez Cardona,69122932,asesor_servicio,33238452,agente10@empresa.com,2024-08-03,activo,4,2
11,Andrea,Ortiz Perez,24888279,asesor_servicio,39136315,agente11@empresa.com,2023-12-27,vacaciones,5,2
12,Maria,Osorio Garcia,30671208,asesor_servicio,35757261,agente12@empresa.com,2023-03-06,activo,1,1
13,Felipe,Lopez Jimenez,22034859,asesor_comercial,31806844,agente13@empresa.com,2026-03-28,inactivo,7,3
14,Felipe,Rodriguez Perez,77215495,asesor_servicio,34857108,agente14@empresa.com,2022-06-20,activo,1,1
15,Sara,Lopez Agudelo,52513200,asesor_comercial,31034864,agente15@empresa.com,2024-07-03,activo,7,3
16,Daniel,Giraldo Rojas,54222175,asesor_comercial,39230841,agente16@empresa.com,2025-12-13,activo,10,4
17,Jorge,Mejia Castro,64956161,asesor_servicio,39324557,agente17@empresa.com,2026-01-11,vacaciones,12,5
18,Sofia,Restrepo Martinez,19268889,asesor_servicio,36859483,agente18@empresa.com,2022-10-08,activo,5,2
19,Natalia,Sanchez Gomez,68829568,asesor_servicio,38441971,agente19@empresa.com,2025-03-10,vacaciones,4,2
20,Julian,Arango Martinez,52430242,asesor_servicio,32460490,agente20@empresa.com,2025-04-08,activo,4,2
21,Jose,Restrepo Quintero,62924425,asesor_servicio,32913848,agente21@empresa.com,2023-11-27,activo,2,1
22,Juan,Arango Giraldo,56001011,asesor_servicio,34012069,agente22@empresa.com,2025-02-12,activo,12,5
23,Jose,Cardona Diaz,47162008,asesor_servicio,31629726,agente23@empresa.com,2024-01-19,vacaciones,5,2
24,Manuela,Quintero Arango,81897833,asesor_servicio,39020203,agente24@empresa.com,2025-01-14,inactivo,5,2
25,Maria,Restrepo Castro,17141263,asesor_servicio,32355559,agente25@empresa.com,2023-01-22,activo,2,1
26,Paola,Martinez Ortiz,88645951,asesor_servicio,35435756,agente26@empresa.com,2025-10-22,activo,12,5
27,Jose,Morales Cardona,86883558,asesor_servicio,38025689,agente27@empresa.com,2022-06-22,activo,2,1
28,Felipe,Vargas Morales,24669083,asesor_comercial,33690245,agente28@empresa.com,2024-03-19,activo,10,4
29,Sara,Martinez Cardona,23323643,asesor_servicio,37473155,agente29@empresa.com,2025-07-09,vacaciones,4,2
30,Isabella,Diaz Ramirez,28585514,asesor_servicio,34653250,agente30@empresa.com,2022-02-13,activo,1,1
31,Felipe,Hernandez Bedoya,53918565,asesor_comercial,31289885,agente31@empresa.com,2025-11-07,inactivo,9,4
32,Luis,Martinez Giraldo,26954506,asesor_servicio,36406312,agente32@empresa.com,2021-12-13,activo,11,5
33,Tatiana,Rojas Sanchez,10908421,asesor_servicio,39428674,agente33@empresa.com,2021-11-08,vacaciones,5,2
34,Carolina,Osorio Diaz,38082819,asesor_comercial,39391004,agente34@empresa.com,2024-01-03,activo,7,3
35,Julian,Mejia Ramirez,59117547,asesor_comercial,32195976,agente35@empresa.com,2024-10-25,activo,10,4
36,Yuliana,Sanchez Rodriguez,47006922,asesor_servicio,38432028,agente36@empresa.com,2023-01-29,activo,12,5
37,Santiago,Rojas Garcia,88642655,asesor_servicio,38701361,agente37@empresa.com,2023-06-27,vacaciones,3,1
38,Paola,Vargas Giraldo,94802398,asesor_servicio,31158290,agente38@empresa.com,2024-09-24,activo,1,1
39,Manuela,Ramirez Quintero,26353164,asesor_servicio,38451100,agente39@empresa.com,2021-10-21,activo,4,2
40,Valentina,Osorio Arango,28175732,asesor_servicio,33202035,agente40@empresa.com,2023-11-14,activo,1,1
