id_cliente,tipo_documento,numero_documento,nombre,apellido,direccion,ciudad,telefono,email,fecha_registro,estado_cliente
1,CE,40908814,Mateo,Osorio Torres,Calle 119 #89-75,Armenia,38956743,,2025-12-17,activo
2,CC,78001536,Sofia,Cardona Ramirez,Calle 1 #42-78,Medellin,32779192,sofia.cardonaramirez441@correo.com,2024-11-14,activo
3,TI,55459018,Julian,Martinez Lopez,Calle 114 #36-106,Bogota,35060615,julian.martinezlopez478@correo.com,2025-07-25,activo
4,CC,80946139,Kevin,Perez Rojas,Calle 54 #58-78,Medellin,32847707,kevin.perezrojas998@correo.com,2025-11-23,activo
5,CC,87347410,Santiago,Rojas Castaño,Calle 71 #75-101,Pasto,34554960,santiago.rojascastaño5@correo.com,2024-05-15,activo
6,NIT,24351884,Paula,Mejia Cardona,Calle 98 #19-61,Cartagena,39433309,paula.mejiacardona87@correo.com,2024-05-17,inactivo
7,NIT,87912315,Jorge,Morales Rodriguez,Calle 91 #44-98,Barranquilla,33791315,jorge.moralesrodriguez868@correo.com,2024-04-07,activo
8,CC,88673000,Diana,Rojas Sanchez,Calle 49 #76-65,Santa Marta,35762168,diana.rojassanchez44@correo.com,2025-04-25,activo
9,CC,77275194,Maria,Ramirez Martinez,Calle 26 #62-21,Cali,33176344,maria.ramirezmartinez882@correo.com,2023-11-12,activo
10,CC,10280409,Diana,Ramirez Castro,Calle 7 #28-85,Ibague,38255075,diana.ramirezcastro631@correo.com,2025-03-31,activo
11,CC,88163264,Nicolas,Morales Castaño,Calle 117 #21-11,Bogota,39110382,,2024-02-06,activo
12,TI,18103451,Julian,Bedoya Morales,Calle 43 #63-6,Cucuta,32847149,,2025-03-24,activo
13,TI,97447949,Sebastian,Jimenez Diaz,Calle 109 #93-117,Barranquilla,32568235,sebastian.jimenezdiaz317@correo.com,2025-02-01,activo
14,CC,58506634,Isabella,Molina Cardona,Calle 116 #5-18,Medellin,34306475,isabella.molinacardona288@correo.com,2025-04-21,activo
15,CE,29721029,Luisa,Ramirez Castaño,Calle 90 #119-111,Pereira,39655681,luisa.ramirezcastaño998@correo.com,2026-01-04,activo
16,CE,94104155,Andrea,Bedoya Vargas,Calle 109 #76-7,Cartagena,37755913,andrea.bedoyavargas804@correo.com,2026-04-02,activo
17,NIT,59395013,Yuliana,Gomez Gomez,Calle 87 #42-98,Bogota,33857863,yuliana.gomezgomez269@correo.com,2025-01-21,activo
18,CC,12885913,Felipe,Sanchez Sanchez,Calle 13 #104-102,Cali,32415474,felipe.sanchezsanchez351@correo.com,2024-01-03,activo
19,CC,34917691,Luisa,Vargas Castro,Calle 51 #103-104,Bogota,33199222,luisa.vargascastro797@correo.com,2024-05-01,activo
20,CC,44983302,Juan,Quintero Hernandez,Calle 63 #14-75,Bogota,34521112,,2025-08-11,activo
21,CC,47490702,Julian,Perez Restrepo,Calle 79 #48-48,Medellin,38419550,julian.perezrestrepo819@correo.com,2023-12-30,activo
22,CC,55375762,Sebastian,Ramirez Gomez,Calle 1 #32-34,Ibague,32797250,,2024-04-23,activo
