id_agente,nombre,apellido,documento,cargo,telefono,email,fecha_ingreso,estado_agente,id_equipo,id_departamento
1,Nicolas,Osorio Osorio,37056145,asesor_servicio,3391998344,agente1@empresa.com,2025-02-04,vacaciones,5,2
2,Felipe,Hernandez Mejia,46741536,asesor_servicio,3672791851,agente2@empresa.com,2021-09-21,vacaciones,4,2
3,Santiago,Garcia Gomez,13681119,asesor_comercial,3778084554,agente3@empresa.com,2023-02-07,activo,9,4
4,Camilo,Morales Jimenez,40569123,asesor_servicio,3503608104,agente4@empresa.com,2023-10-27,activo,3,1
5,Mateo,Restrepo Jimenez,24193032,asesor_servicio,3788613233,agente5@empresa.com,2025-10-08,vacaciones,4,2
6,Daniel,Giraldo Morales,91988696,asesor_servicio,3311187223,agente6@empresa.com,2024-02-18,activo,2,1
7,Diana,Hernandez Perez,69463684,asesor_servicio,3775979656,agente7@empresa.com,2024-07-04,inactivo,1,1
8,Miguel,Mejia Hernandez,19634011,asesor_servicio,3142732535,agente8@empresa.com,2025-07-04,activo,11,5
9,Maria,Garcia Rodriguez,96760488,asesor_servicio,3842766633,agente9@empresa.com,2021-06-05,inactivo,6,2
10,Natalia,Bedoya Bedoya,39193428,asesor_servicio,3462712762,agente10@empresa.com,2025-11-18,vacaciones,12,5
11,Yuliana,Ortiz Vargas,21326356,asesor_servicio,3717114347,agente11@empresa.com,2022-06-28,activo,1,1
12,Santiago,Torres Agudelo,75221076,asesor_servicio,3922133293,agente12@empresa.com,2023-01-14,inactivo,5,2
13,Miguel,Torres Martinez,69487207,asesor_comercial,3113078040,agente13@empresa.com,2021-12-26,vacaciones,9,4
14,Julian,Castro Quintero,50657558,asesor_servicio,3439480760,agente14@empresa.com,2024-01-23,activo,1,1
15,Catalina,Bedoya Lopez,11549924,asesor_comercial,3269155559,agente15@empresa.com,2022-01-09,activo,9,4
16,Miguel,Perez Castano,18263173,asesor_servicio,3188286396,agente16@empresa.com,2025-08-01,activo,1,1
17,Alejandra,Lopez Rojas,86940626,asesor_comercial,3902707958,agente17@empresa.com,2024-01-16,activo,8,3
18,Carlos,Osorio Morales,66673669,asesor_servicio,3026900921,agente18@empresa.com,2023-03-25,inactivo,11,5
19,Jose,Lopez Rodriguez,97944992,asesor_servicio,3733510052,agente19@empresa.com,2026-04-27,activo,4,2
20,Isabella,Rodriguez Garcia,58266305,asesor_comercial,3903393460,agente20@empresa.com,2023-02-22,inactivo,10,4
21,Alejandra,Bedoya Cardona,38979768,asesor_servicio,3110712542,agente21@empresa.com,2024-11-19,activo,3,1
22,Juan,Osorio Mejia,65087004,asesor_servicio,3094260707,agente22@empresa.com,2022-02-13,vacaciones,1,1
23,Sebastian,Agudelo Morales,96291779,asesor_comercial,3594398060,agente23@empresa.com,2021-10-09,activo,9,4
24,Kevin,Arango Molina,55111777,asesor_servicio,3206994134,agente24@empresa.com,2024-07-05,activo,6,2
25,Luisa,Bedoya Castro,12030772,asesor_comercial,3664455282,agente25@empresa.com,2024-06-02,activo,8,3
26,Yuliana,Sanchez Castano,43980176,asesor_servicio,3319242848,agente26@empresa.com,2025-10-19,vacaciones,3,1
27,Carlos,Martinez Rojas,50970702,asesor_servicio,3749045399,agente27@empresa.com,2024-05-25,activo,5,2
28,Sebastian,Molina Arango,37683493,asesor_servicio,3892555817,agente28@empresa.com,2023-06-28,vacaciones,1,1
29,Sebastian,Quintero Lopez,89367743,asesor_servicio,3225131730,agente29@empresa.com,2024-12-04,activo,3,1
30,Tatiana,Agudelo Molina,35952085,asesor_comercial,3246688917,agente30@empresa.com,2024-12-04,inactivo,9,4
