id_cliente,tipo_documento,numero_documento,nombre,apellido,direccion,ciudad,telefono,email,fecha_registro,estado_cliente
1,CC,21274967,Luis,Jimenez Lopez,Calle 5 #68-45,Ibague,3787574002,luis.jimenezlopez331@correo.com,2025-12-11,activo
2,NIT,91373900,Andrea,Sanchez Vargas,Calle 62 #13-53,Pereira,3865920862,andrea.sanchezvargas562@correo.com,2023-09-11,activo
3,CC,56537316,Isabella,Torres Lopez,Calle 94 #47-15,Bogota,3410930346,isabella.torreslopez773@correo.com,2025-02-18,activo
4,CC,27007657,Daniel,Molina Ortiz,Calle 56 #21-69,Bucaramanga,3525581551,daniel.molinaortiz921@correo.com,2024-07-08,activo
5,CC,33064536,Ana,Osorio Hernandez,Calle 100 #22-11,Bogota,3528838954,ana.osoriohernandez892@correo.com,2023-12-14,inactivo
6,NIT,94438291,Luisa,Restrepo Cardona,Calle 72 #49-109,Cartagena,3987472428,luisa.restrepocardona667@correo.com,2025-04-28,activo
7,NIT,75429665,Kevin,Cardona Lopez,Calle 47 #101-112,Bogota,3352586850,kevin.cardonalopez801@correo.com,2024-01-15,activo
8,CC,48300164,Juan,Morales Perez,Calle 6 #113-98,Bogota,3147692389,juan.moralesperez688@correo.com,2023-11-28,activo
9,CC,67194469,Manuela,Quintero Castro,Calle 45 #54-37,Cali,3930339799,,2024-02-03,activo
10,CC,45552416,Valentina,Quintero Gomez,Calle 79 #47-96,Cali,3903784304,,2026-01-18,activo
11,CC,10465733,Andres,Lopez Morales,Calle 118 #25-57,Bogota,3543708371,andres.lopezmorales855@correo.com,2026-03-24,inactivo
12,CE,99533672,Valentina,Perez Mejia,Calle 36 #116-12,Bucaramanga,3098078062,valentina.perezmejia380@correo.com,2024-02-02,inactivo
13,CE,43626204,Diana,Cardona Arango,Calle 62 #67-41,Medellin,3512769101,diana.cardonaarango945@correo.com,2023-06-28,activo
14,NIT,37511459,Julian,Bedoya Lopez,Calle 91 #110-111,Medellin,3642649410,julian.bedoyalopez959@correo.com,2024-10-31,activo
15,CC,82775454,Carlos,Hernandez Morales,Calle 82 #58-69,Ibague,3210229482,carlos.hernandezmorales212@correo.com,2025-01-25,activo
16,NIT,49869618,Sara,Garcia Cardona,Calle 111 #11-101,Medellin,3886264946,sara.garciacardona952@correo.com,2023-07-18,activo
17,CC,70766147,Santiago,Castano Jimenez,Calle 87 #10-118,Manizales,3323089930,,2025-03-21,inactivo
18,CC,30317208,Catalina,Torres Hernandez,Calle 73 #107-34,Bogota,3200800475,,2024-05-03,suspendido
19,NIT,39688091,Julian,Diaz Mejia,Calle 63 #93-54,Cali,3059059488,julian.diazmejia49@correo.com,2024-10-07,activo
20,CC,40494094,Natalia,Jimenez Rojas,Calle 4 #114-31,Medellin,3366881496,natalia.jimenezrojas734@correo.com,2025-03-31,activo
21,CC,19483271,Laura,Hernandez Hernandez,Calle 85 #66-101,Bogota,3872777020,laura.hernandezhernandez194@correo.com,2025-12-26,activo
22,CC,14823716,Isabella,Agudelo Diaz,Calle 58 #116-56,Bogota,3732176123,isabella.agudelodiaz708@correo.com,2024-05-27,activo
23,CC,23580513,Miguel,Giraldo Vargas,Calle 28 #73-16,Barranquilla,3438012324,miguel.giraldovargas682@correo.com,2026-02-07,activo
24,CC,48602796,Carlos,Bedoya Restrepo,Calle 62 #68-66,Medellin,3407100128,carlos.bedoyarestrepo280@correo.com,2026-04-12,inactivo
25,CE,41360218,Andrea,Rodriguez Sanchez,Calle 113 #39-112,Pereira,3257261686,,2024-02-12,activo
26,CC,92507494,Daniel,Restrepo Martinez,Calle 84 #30-18,Bogota,3179335791,daniel.restrepomartinez130@correo.com,2023-10-25,activo
27,CC,31433469,Diana,Vargas Gomez,Calle 93 #109-99,Cali,3808116810,diana.vargasgomez109@correo.com,2025-06-30,activo
28,NIT,49897443,Nicolas,Castano Lopez,Calle 3 #110-80,Bogota,3206101062,nicolas.castanolopez51@correo.com,2024-03-03,inactivo
29,TI,91824351,Andrea,Molina Molina,Calle 93 #105-32,Cali,3332955195,andrea.molinamolina274@correo.com,2024-06-18,inactivo
30,TI,28750915,Jorge,Torres Vargas,Calle 6 #4-62,Santa Marta,3011614555,jorge.torresvargas28@correo.com,2025-12-23,activo
31,CC,52023235,David,Ortiz Restrepo,Calle 81 #64-9,Villavicencio,3543507401,david.ortizrestrepo277@correo.com,2025-07-10,activo
32,NIT,25797383,Kevin,Ramirez Arango,Calle 109 #13-74,Bogota,3785687786,kevin.ramirezarango785@correo.com,2026-04-09,activo
33,CC,86505245,Sofia,Lopez Morales,Calle 20 #85-92,Cali,3469110158,sofia.lopezmorales433@correo.com,2024-10-27,activo
34,CC,38761159,Alejandra,Garcia Martinez,Calle 10 #6-71,Cali,3396494158,alejandra.garciamartinez144@correo.com,2026-02-18,activo
35,CC,57224337,Luisa,Garcia Jimenez,Calle 100 #54-42,Barranquilla,3056314181,luisa.garciajimenez803@correo.com,2024-04-02,activo
36,CC,98160044,Sebastian,Castano Castano,Calle 59 #70-31,Cartagena,3352910021,sebastian.castanocastano31@correo.com,2025-06-17,activo
37,CC,71853994,David,Cardona Sanchez,Calle 39 #48-1,Bogota,3865393975,david.cardonasanchez289@correo.com,2025-03-25,activo
38,CC,81194997,Nicolas,Morales Rodriguez,Calle 85 #62-2,Medellin,3936858818,nicolas.moralesrodriguez721@correo.com,2025-12-06,activo
39,CC,13092847,Laura,Restrepo Molina,Calle 98 #42-106,Bogota,3125071596,laura.restrepomolina123@correo.com,2025-10-11,suspendido
40,CC,67845805,Ana,Rodriguez Vargas,Calle 29 #63-18,Cartagena,3147329174,ana.rodriguezvargas506@correo.com,2026-01-30,activo
41,CE,94041326,Tatiana,Sanchez Perez,Calle 35 #2-105,Cucuta,3314725245,tatiana.sanchezperez996@correo.com,2024-06-09,activo
42,CC,42900814,Laura,Perez Agudelo,Calle 27 #44-98,Bogota,3223667251,laura.perezagudelo842@correo.com,2025-09-07,activo
43,CC,25679614,Jose,Osorio Arango,Calle 97 #31-55,Pereira,3050890349,jose.osorioarango619@correo.com,2024-06-07,activo
44,CC,65894440,Santiago,Mejia Hernandez,Calle 33 #103-14,Medellin,3502096249,santiago.mejiahernandez282@correo.com,2024-12-25,activo
45,CC,92514397,Andrea,Giraldo Jimenez,Calle 107 #66-79,Cali,3219438544,,2024-10-19,activo
46,CC,62466001,Daniel,Hernandez Garcia,Calle 19 #7-9,Bogota,3762798628,daniel.hernandezgarcia859@correo.com,2024-03-24,activo
47,CC,67469343,Carolina,Martinez Molina,Calle 31 #118-30,Armenia,3368257009,carolina.martinezmolina263@correo.com,2023-11-17,inactivo
48,TI,17103079,Natalia,Morales Vargas,Calle 25 #15-24,Bogota,3207768218,natalia.moralesvargas958@correo.com,2026-01-05,activo
49,CC,84110902,Natalia,Bedoya Martinez,Calle 47 #40-76,Cucuta,3345601340,natalia.bedoyamartinez602@correo.com,2026-02-12,suspendido
50,CC,95034950,Valentina,Jimenez Giraldo,Calle 17 #69-49,Bogota,3951215706,valentina.jimenezgiraldo492@correo.com,2024-06-30,activo
51,CC,16112754,Nicolas,Morales Osorio,Calle 75 #79-113,Cali,3326893132,nicolas.moralesosorio318@correo.com,2024-05-12,activo
