id_agente,agente,nombre_departamento,total_llamadas_atendidas,satisfaccion_promedio
68,Tatiana Jimenez Lopez,ventas,172,3.84
595,Catalina Castro Martinez,telemarketing,149,3.85
642,Daniel Rodriguez Sanchez,telemarketing,174,3.85
367,Felipe Sanchez Martinez,ventas,134,3.85
669,Alejandra Hernandez Mejia,telemarketing,126,3.85
370,Catalina Diaz Garcia,ventas,146,3.87
492,Camilo Morales Arango,telemarketing,131,3.87
547,Luisa Ortiz Lopez,ventas,147,3.88
406,Carolina Morales Quintero,telemarketing,117,3.88
63,Catalina Perez Ortiz,telemarketing,142,3.92
