id_cliente,cliente,facturas_comprometidas,valor_facturado,valor_pagado,saldo_pendiente
41786,Luisa Diaz Gomez,11,2577312.0,0.0,2577312.0
99171,Sebastian Vargas Ortiz,14,2590099.0,0.0,2590099.0
78327,Yuliana Arango Quintero,10,2600343.0,0.0,2600343.0
99181,Laura Martinez Rodriguez,10,2650531.0,0.0,2650531.0
74535,Sara Mejia Vargas,9,2664681.0,0.0,2664681.0
116321,Jose Morales Garcia,15,2668868.0,0.0,2668868.0
50586,Andrea Castano Giraldo,14,2795305.0,0.0,2795305.0
91466,Maria Martinez Perez,13,2829462.0,0.0,2829462.0
83989,Jose Molina Rodriguez,16,2876275.0,0.0,2876275.0
59019,Jorge Martinez Arango,17,3307495.0,0.0,3307495.0
